user_id,gender,age,job,region,start_time,end_time
514717896,F,50대,직장인,수도권,2019-01-01T00:00:00Z,9999-12-31T00:00:00Z
594160808,M,30대,직장인,충청권,2019-01-01T00:00:00Z,9999-12-31T00:00:00Z
529322103,M,40대,직장인,충청권,2019-01-01T00:00:00Z,9999-12-31T00:00:00Z
610445715,M,20대,직장인,수도권,2019-01-01T00:00:00Z,9999-12-31T00:00:00Z
515930083,F,20대,직장인,수도권,2019-01-01T00:00:00Z,9999-12-31T00:00:00Z
602812085,F,50대,기타,수도권,2019-01-01T00:00:00Z,9999-12-31T00:00:00Z
634274258,F,20대,직장인,전북권,2019-01-01T00:00:00Z,9999-12-31T00:00:00Z
621339353,F,30대,기타,수도권,2019-01-01T00:00:00Z,9999-12-31T00:00:00Z
596094458,F,50대,주부,대경권,2019-01-01T00:00:00Z,9999-12-31T00:00:00Z
514787343,M,60대,직장인,충청권,2019-01-01T00:00:00Z,9999-12-31T00:00:00Z
634500840,F,40대,주부,동남권,2019-01-01T00:00:00Z,9999-12-31T00:00:00Z
634512670,F,40대,직장인,수도권,2019-01-01T00:00:00Z,9999-12-31T00:00:00Z
616103059,F,60대,직장인,충청권,2019-01-01T00:00:00Z,9999-12-31T00:00:00Z
515940009,M,60대,기타,강원권,2019-01-01T00:00:00Z,9999-12-31T00:00:00Z
512983802,F,40대,기타,대경권,2019-01-01T00:00:00Z,9999-12-31T00:00:00Z
594569264,F,40대,주부,수도권,2019-01-01T00:00:00Z,9999-12-31T00:00:00Z
626698596,F,40대,주부,동남권,2019-01-01T00:00:00Z,9999-12-31T00:00:00Z
530094256,F,40대,주부,대경권,2019-01-01T00:00:00Z,9999-12-31T00:00:00Z
564149522,M,20대,직장인,동남권,2019-01-01T00:00:00Z,9999-12-31T00:00:00Z
632563764,F,60대,주부,수도권,2019-01-01T00:00:00Z,9999-12-31T00:00:00Z
546794360,M,40대,직장인,대경권,2019-01-01T00:00:00Z,9999-12-31T00:00:00Z
555212859,M,30대,직장인,동남권,2019-01-01T00:00:00Z,9999-12-31T00:00:00Z
634514803,M,30대,기타,동남권,2019-01-01T00:00:00Z,9999-12-31T00:00:00Z
633418638,F,40대,기타,수도권,2019-01-01T00:00:00Z,9999-12-31T00:00:00Z
634228315,F,60대,기타,수도권,2019-01-01T00:00:00Z,9999-12-31T00:00:00Z
634516925,F,40대,주부,수도권,2019-01-01T00:00:00Z,9999-12-31T00:00:00Z
514295085,F,40대,직장인,수도권,2019-01-01T00:00:00Z,9999-12-31T00:00:00Z
566386061,M,50대,직장인,전북권,2019-01-01T00:00:00Z,9999-12-31T00:00:00Z
609315098,M,20대,학생,동남권,2019-01-01T00:00:00Z,9999-12-31T00:00:00Z
627415266,M,40대,기타,강원권,2019-01-01T00:00:00Z,9999-12-31T00:00:00Z
554172475,F,60대,주부,수도권,2019-01-01T00:00:00Z,9999-12-31T00:00:00Z
552790914,F,60대,주부,대경권,2019-01-01T00:00:00Z,9999-12-31T00:00:00Z
518300140,F,30대,직장인,동남권,2019-01-01T00:00:00Z,9999-12-31T00:00:00Z
569940523,F,60대,기타,대경권,2019-01-01T00:00:00Z,9999-12-31T00:00:00Z
634518599,F,60대,기타,충청권,2019-01-01T00:00:00Z,9999-12-31T00:00:00Z
610586692,M,30대,직장인,강원권,2019-01-01T00:00:00Z,9999-12-31T00:00:00Z
517106006,M,40대,직장인,대경권,2019-01-01T00:00:00Z,9999-12-31T00:00:00Z
634500500,M,40대,직장인,충청권,2019-01-01T00:00:00Z,9999-12-31T00:00:00Z
600043570,M,30대,직장인,수도권,2019-01-01T00:00:00Z,9999-12-31T00:00:00Z
601334186,F,40대,주부,대경권,2019-01-01T00:00:00Z,9999-12-31T00:00:00Z
513609758,M,20대,직장인,동남권,2019-01-01T00:00:00Z,9999-12-31T00:00:00Z
540682877,F,20대,직장인,수도권,2019-01-01T00:00:00Z,9999-12-31T00:00:00Z
598012803,M,40대,기타,전남권,2019-01-01T00:00:00Z,9999-12-31T00:00:00Z
585338780,M,20대,직장인,수도권,2019-01-01T00:00:00Z,9999-12-31T00:00:00Z
543381957,M,20대,직장인,동남권,2019-01-01T00:00:00Z,9999-12-31T00:00:00Z
512920892,F,20대,직장인,강원권,2019-01-01T00:00:00Z,9999-12-31T00:00:00Z
586642518,F,60대,기타,전남권,2019-01-01T00:00:00Z,9999-12-31T00:00:00Z
546327305,F,30대,주부,대경권,2019-01-01T00:00:00Z,9999-12-31T00:00:00Z
630115059,M,40대,직장인,동남권,2019-01-01T00:00:00Z,9999-12-31T00:00:00Z
566952611,F,60대,주부,충청권,2019-01-01T00:00:00Z,9999-12-31T00:00:00Z
513406492,M,50대,직장인,동남권,2019-01-01T00:00:00Z,9999-12-31T00:00:00Z
514034882,F,50대,주부,수도권,2019-01-01T00:00:00Z,9999-12-31T00:00:00Z
626068238,M,40대,직장인,충청권,2019-01-01T00:00:00Z,9999-12-31T00:00:00Z
525468771,F,50대,주부,수도권,2019-01-01T00:00:00Z,9999-12-31T00:00:00Z
634522935,F,40대,주부,충청권,2019-01-01T00:00:00Z,9999-12-31T00:00:00Z
634523599,F,50대,주부,대경권,2019-01-01T00:00:00Z,9999-12-31T00:00:00Z
619656937,F,50대,주부,충청권,2019-01-01T00:00:00Z,9999-12-31T00:00:00Z
518057450,F,40대,주부,동남권,2019-01-01T00:00:00Z,9999-12-31T00:00:00Z
634524138,F,40대,주부,수도권,2019-01-01T00:00:00Z,9999-12-31T00:00:00Z
634524062,F,30대,직장인,수도권,2019-01-01T00:00:00Z,9999-12-31T00:00:00Z
616134105,F,30대,학생,수도권,2019-01-01T00:00:00Z,9999-12-31T00:00:00Z
518472639,F,50대,주부,수도권,2019-01-01T00:00:00Z,9999-12-31T00:00:00Z
547458131,F,40대,주부,동남권,2019-01-01T00:00:00Z,9999-12-31T00:00:00Z
527957526,F,60대,직장인,수도권,2019-01-01T00:00:00Z,9999-12-31T00:00:00Z
561567455,M,40대,기타,전남권,2019-01-01T00:00:00Z,9999-12-31T00:00:00Z
589871670,F,50대,주부,충청권,2019-01-01T00:00:00Z,9999-12-31T00:00:00Z
527628386,F,30대,직장인,수도권,2019-01-01T00:00:00Z,9999-12-31T00:00:00Z
633856045,F,40대,주부,수도권,2019-01-01T00:00:00Z,9999-12-31T00:00:00Z
568202622,F,30대,직장인,충청권,2019-01-01T00:00:00Z,9999-12-31T00:00:00Z
516723468,M,50대,직장인,수도권,2019-01-01T00:00:00Z,9999-12-31T00:00:00Z
631700280,F,30대,직장인,수도권,2019-01-01T00:00:00Z,9999-12-31T00:00:00Z
634531982,F,60대,기타,수도권,2019-01-01T00:00:00Z,9999-12-31T00:00:00Z
593066233,F,20대,직장인,동남권,2019-01-01T00:00:00Z,9999-12-31T00:00:00Z
593128273,F,50대,주부,수도권,2019-01-01T00:00:00Z,9999-12-31T00:00:00Z
513895709,F,50대,직장인,동남권,2019-01-01T00:00:00Z,9999-12-31T00:00:00Z
607638096,F,40대,직장인,수도권,2019-01-01T00:00:00Z,9999-12-31T00:00:00Z
634533308,F,50대,직장인,대경권,2019-01-01T00:00:00Z,9999-12-31T00:00:00Z
617634394,M,40대,직장인,동남권,2019-01-01T00:00:00Z,9999-12-31T00:00:00Z
578000005,M,40대,직장인,동남권,2019-01-01T00:00:00Z,9999-12-31T00:00:00Z
555964560,M,30대,직장인,수도권,2019-01-01T00:00:00Z,9999-12-31T00:00:00Z
634533954,F,40대,주부,수도권,2019-01-01T00:00:00Z,9999-12-31T00:00:00Z
598403214,F,20대,직장인,수도권,2019-01-01T00:00:00Z,9999-12-31T00:00:00Z
572172606,M,30대,직장인,수도권,2019-01-01T00:00:00Z,9999-12-31T00:00:00Z
530642576,F,30대,학생,전북권,2019-01-01T00:00:00Z,9999-12-31T00:00:00Z
604312825,M,40대,직장인,수도권,2019-01-01T00:00:00Z,9999-12-31T00:00:00Z
574537670,M,40대,기타,대경권,2019-01-01T00:00:00Z,9999-12-31T00:00:00Z
634510349,M,30대,직장인,강원권,2019-01-01T00:00:00Z,9999-12-31T00:00:00Z
574757831,F,50대,주부,전남권,2019-01-01T00:00:00Z,9999-12-31T00:00:00Z
